course,degree_program,motivation_transfer_bachelor,motivation_transfer_hs,motivation_current_tech,motivation_job_computing,motivation_relocation,motivation_prof_dev,motivation_personal_enrich,motivation_job_displacement,motivation_it_cert,motivation_financial,motivation_career_change,motivation_career_advancement
CMP 128 Computer Science I,CCM Share time program,,,,,,,,,,,,
CMP 128 Computer Science I,Computer Science,Yes,No,No,Yes,No,No,No,No,No,No,No,No
CMP 239 Internet & Web Page Design,Information Technology,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
CMP 130 Intro to IT,Information Technology,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No
CMP 239 Internet & Web Page Design,Information Technology,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes
CMP 128 Computer Science I,Computer Science,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes
CMP 131 Fundamentals of Programming (Python),Non Degree seeking,,,,,,,,,,,,
CMP 131 Fundamentals of Programming (Python),Data Analytics Certificate of Achievement,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes
CMP 239 Internet & Web Page Design,Information Technology,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes
CMP 239 Internet & Web Page Design,Digital Media Technology,No,No,No,Yes,No,No,No,No,No,No,No,No
CMP 239 Internet & Web Page Design,Computer Science,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes
CMP 128 Computer Science I,Computer Science,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes
CMP 128 Computer Science I,Mechanical Engineering,,,,,,,,,,,,
CMP 128 Computer Science I,Computer Science,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes
CMP 128 Computer Science I,Business Administration,,,,,,,,,,,,
CMP 128 Computer Science I,Business Administration,,,,,,,,,,,,
CMP 128 Computer Science I,Computer Science,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No
CMP 128 Computer Science I,Computer Science,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes
CMP 128 Computer Science I,mechanical technology major ,,,,,,,,,,,,
CMP 131 Fundamentals of Programming (Python),Information Technology,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
CMP 128 Computer Science I,Computer Science,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes
CMP 128 Computer Science I,Mechanical Engineering Technology ,,,,,,,,,,,,
CMP 128 Computer Science I,Computer Science,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No
CMP 128 Computer Science I,Computer Science,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
CMP 128 Computer Science I,Computer Science,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
CMP 128 Computer Science I,CIS Game Development Option,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes
CMP 128 Computer Science I,Mechanical engineering technology ,,,,,,,,,,,,
CMP 128 Computer Science I,Mechanical Engineering,,,,,,,,,,,,
CMP 128 Computer Science I,Computer Science,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes
CMP 128 Computer Science I,Computer Science,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No
CMP 239 Internet & Web Page Design,Information Technology,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes
CMP 128 Computer Science I,Mech Tech,,,,,,,,,,,,
CMP 128 Computer Science I,Undecided,,,,,,,,,,,,
CMP 128 Computer Science I,Information Technology,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No
CMP 128 Computer Science I,Computer Science,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No
CMP 128 Computer Science I,Computer Science,No,No,No,Yes,No,No,No,No,No,No,No,No
CMP 120 Foundations of Information Security,Information Technology,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,Yes
CMP 130 Intro to IT,not enrolled in a degree program (votech infosec),,,,,,,,,,,,
CMP 130 Intro to IT,votech infosec,,,,,,,,,,,,
CMP 120 Foundations of Information Security,ShareTime CSIP Program,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes
CMP 120 Foundations of Information Security,ShareTime CSIP Program,Yes,No,No,Yes,No,No,No,No,Yes,No,No,Yes
CMP 120 Foundations of Information Security,ShareTime CSIP Program,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No
CMP 130 Intro to IT,ShareTime CSIP Program,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
CMP 120 Foundations of Information Security,Information Technology,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes
CMP 120 Foundations of Information Security,Information Technology,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes
CMP 120 Foundations of Information Security,Information Technology,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,No
CMP 120 Foundations of Information Security,ShareTime CSIP Program,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,No
CMP 120 Foundations of Information Security,ShareTime CSIP Program,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes
CMP 120 Foundations of Information Security,ShareTime CSIP Program,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes
CMP 120 Foundations of Information Security,ShareTime CSIP Program,Yes,No,No,Yes,No,No,No,No,Yes,No,No,Yes
CMP 120 Foundations of Information Security,ShareTime CSIP Program,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes
CMP 120 Foundations of Information Security,ShareTime CSIP Program,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes
CMP 130 Intro to IT,ShareTime CSIP Program,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes
CMP 120 Foundations of Information Security,Computer Science,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes
CMP 120 Foundations of Information Security,Information Technology,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes
CMP 120 Foundations of Information Security,ShareTime CSIP Program,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes
CMP 120 Foundations of Information Security,Undecided,,,,,,,,,,,,
CMP 120 Foundations of Information Security,Information Technology,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes
CMP 130 Intro to IT,ShareTime CSIP Program,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No
CMP 128 Computer Science I,Business Administration,,,,,,,,,,,,
CMP 130 Intro to IT,Information Technology,No,No,No,Yes,No,No,No,No,No,No,No,No
CMP 130 Intro to IT,Information Technology,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No
CMP 130 Intro to IT,Information Technology,No,No,No,Yes,No,No,No,Yes,No,No,No,No
CMP 130 Intro to IT,Information Technology,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes
